sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,activation_information,bid,cbid,code,color,computer_manufacturers,contrast_ratio,cost,country_of_manufacture,country_orgin,cpu_speed,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,delivery,delivery_included,description,dimension,em_deal,em_featured,em_hot,em_label_bestseller,em_label_new,em_label_saleoff,enable_googlecheckout,finish,gallery,gender,gift_message_available,harddrive_speed,hardrive,has_options,height,image,image_label,in_depth,length,manufacturer,max_resolution,media_gallery,megapixels,memory,meta_description,meta_keyword,meta_title,minimal_price,model,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,offer_type,options_container,page_layout,price,processor,qty_in_pack,ram_size,required_options,response_time,room,sales_notes,screensize,shape,shirt_size,shoe_size,shoe_type,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,type_prefix,updated_at,url_key,url_path,vendor_code,visibility,weight,width,yml_export,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
Babies P-2HP,,Default,simple,Babies/Детские манежи,Root Catalog,base,,1,,4600013037039,,,,,,,,2013-12-03 10:51:37,,,,,,0,,,0,0,0,0,0,0,1,,,,,,,0,0.76,/c/5/c5259218face0683f490744d440de79a.jpg,,,0.255,Babies,,,,,,,,,1,,Использовать настройки конфигурации,Использовать настройки конфигурации,Детский игровой манеж Babies P-2HP,,,vendor.model,Блок после информационной колонки,,4130.0000,,1,,0,,,,,,,,,,/c/5/c5259218face0683f490744d440de79a.jpg,,,,,1,2,/c/5/c5259218face0683f490744d440de79a.jpg,,,2014-03-30 14:29:54,detskij-igrovoj-manezh-babies-p-2hp,detskij-igrovoj-manezh-babies-p-2hp.html,,4,13.6000,0.255,0,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,703,/c/5/c5259218face0683f490744d440de79a.jpg,,1,0
,,Default,simple,Детские манежи/Babies,Root Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babies P-2J,,Default,simple,Babies/Детские манежи,Root Catalog,base,,1,,4600013036964,,,,,,,,2013-12-03 10:51:39,,,,,,0,,,0,0,0,0,0,0,1,,,,,,,0,0.76,/0/c/0c292fee7fda185cf9c1506e11afb5b4.jpg,,,0.255,Babies,,,,,,,,,1,,Использовать настройки конфигурации,Использовать настройки конфигурации,Детский игровой манеж Babies P-2J,,,vendor.model,Блок после информационной колонки,,4130.0000,,1,,0,,,,,,,,,,/0/c/0c292fee7fda185cf9c1506e11afb5b4.jpg,,,,,1,2,/0/c/0c292fee7fda185cf9c1506e11afb5b4.jpg,,,2014-03-30 14:29:30,detskij-igrovoj-manezh-babies-p-2j,detskij-igrovoj-manezh-babies-p-2j.html,,4,13.6000,0.255,0,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,703,/0/c/0c292fee7fda185cf9c1506e11afb5b4.jpg,,1,0
,,Default,simple,Детские манежи/Babies,Root Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babies P-1A,,Default,simple,Babies/Детские манежи,Root Catalog,base,,1,,4600013037077,,,,,,,,2013-12-03 10:51:43,,,,,,0,,,0,0,0,0,0,0,1,,,,,,,0,0.76,/e/2/e2d6d4169b31c6f835261f5ac42f25b4.jpg,,,0.255,Babies,,,,,,,,,1,,Использовать настройки конфигурации,Использовать настройки конфигурации,Детский манеж-кровать Babies P-1A,,,vendor.model,Блок после информационной колонки,,4550.0000,,1,,0,,,,,,,,,,/e/2/e2d6d4169b31c6f835261f5ac42f25b4.jpg,,,,,1,2,/e/2/e2d6d4169b31c6f835261f5ac42f25b4.jpg,,,2014-03-30 14:29:11,detskij-manezh-krovat-babies-p-1a,detskij-manezh-krovat-babies-p-1a.html,,4,13.6000,0.255,0,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,703,/e/2/e2d6d4169b31c6f835261f5ac42f25b4.jpg,,1,0
,,Default,simple,Детские манежи/Babies,Root Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babies P-1BK,,Default,simple,Babies/Детские манежи,Root Catalog,base,,1,,4600013037084,,,,,,,,2013-12-03 10:51:45,,,,,,0,,,0,0,0,0,0,0,1,,,,,,,0,0.76,/c/5/c5078d592301b91a970a3a856172b13c.jpg,,,0.255,Babies,,,,,,,,,1,,Использовать настройки конфигурации,Использовать настройки конфигурации,Детский манеж-кровать Babies P-1BK,,,vendor.model,Блок после информационной колонки,,4550.0000,,1,,0,,,,,,,,,,/c/5/c5078d592301b91a970a3a856172b13c.jpg,,,,,1,2,/c/5/c5078d592301b91a970a3a856172b13c.jpg,,,2014-03-30 14:28:50,detskij-manezh-krovat-babies-p-1bk,detskij-manezh-krovat-babies-p-1bk.html,,4,13.6000,0.255,0,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,703,/c/5/c5078d592301b91a970a3a856172b13c.jpg,,1,0
,,Default,simple,Детские манежи/Babies,Root Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babies P-1YO,,Default,simple,Babies/Детские манежи,Root Catalog,base,,1,,4600013037091,,,,,,,,2013-12-03 10:51:48,,,,,,0,,,0,0,0,0,0,0,1,,,,,,,0,0.76,/8/e/8e6b9a80fc289a15fdf13f1ba258e08e.jpg,,,0.255,Babies,,,,,,,,,1,,Использовать настройки конфигурации,Использовать настройки конфигурации,Детский манеж-кровать Babies P-1YO,,,vendor.model,Блок после информационной колонки,,4550.0000,,1,,0,,,,,,,,,,/8/e/8e6b9a80fc289a15fdf13f1ba258e08e.jpg,,,,,1,2,/8/e/8e6b9a80fc289a15fdf13f1ba258e08e.jpg,,,2014-03-30 14:28:29,detskij-manezh-krovat-babies-p-1yo,detskij-manezh-krovat-babies-p-1yo.html,,4,13.6000,0.255,0,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,703,/8/e/8e6b9a80fc289a15fdf13f1ba258e08e.jpg,,1,0
,,Default,simple,Детские манежи/Babies,Root Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babies P-695C,,Default,simple,Babies/Детские манежи,Root Catalog,base,,1,,4600013037053,,,,,,,,2013-12-03 10:51:51,,,,,,0,,,0,0,0,0,0,0,1,,,,,,,0,0.76,/d/c/dc0dd1a9f9e3e961aec339f174215b52.jpg,,,0.255,Babies,,,,,,,,,1,,Использовать настройки конфигурации,Использовать настройки конфигурации,Детский манеж-кровать Babies P-695C,,,vendor.model,Блок после информационной колонки,,3900.0000,,1,,0,,,,,,,,,,/d/c/dc0dd1a9f9e3e961aec339f174215b52.jpg,,,,,1,2,/d/c/dc0dd1a9f9e3e961aec339f174215b52.jpg,,,2014-03-30 14:27:56,detskij-manezh-krovat-babies-p-695c,detskij-manezh-krovat-babies-p-695c.html,,4,13.6000,0.255,0,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,703,/d/c/dc0dd1a9f9e3e961aec339f174215b52.jpg,,1,0
,,Default,simple,Детские манежи/Babies,Root Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babies P-695H,,Default,simple,Babies/Детские манежи,Root Catalog,base,,1,,4600013036940,,,,,,,,2013-12-03 10:51:53,,,,,,0,,,0,0,0,0,0,0,1,,,,,,,0,0.76,/6/6/665a1b33ce0764f0b24ca4be244f5e9c.jpg,,,0.255,Babies,,,,,,,,,1,,Использовать настройки конфигурации,Использовать настройки конфигурации,Детский манеж-кровать Babies P-695H,,,vendor.model,Блок после информационной колонки,,4340.0000,,1,,0,,,,,,,,,,/6/6/665a1b33ce0764f0b24ca4be244f5e9c.jpg,,,,,1,2,/6/6/665a1b33ce0764f0b24ca4be244f5e9c.jpg,,,2014-03-30 14:27:36,detskij-manezh-krovat-babies-p-695h,detskij-manezh-krovat-babies-p-695h.html,,4,13.6000,0.255,0,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,703,/6/6/665a1b33ce0764f0b24ca4be244f5e9c.jpg,,1,0
,,Default,simple,Детские манежи/Babies,Root Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babies P-695I,,Default,simple,Babies/Детские манежи,Root Catalog,base,,1,,4600013037046,,,,,,,,2013-12-03 10:51:56,,,,,,0,,,0,0,0,0,0,0,1,,,,,,,0,0.76,/5/1/512e4e90d436da456448849de5384747.jpg,,,0.255,Babies,,,,,,,,,1,,Использовать настройки конфигурации,Использовать настройки конфигурации,Детский манеж-кровать Babies P-695I,,,vendor.model,Блок после информационной колонки,,4340.0000,,1,,0,,,,,,,,,,/5/1/512e4e90d436da456448849de5384747.jpg,,,,,1,2,/5/1/512e4e90d436da456448849de5384747.jpg,,,2014-03-30 14:27:12,detskij-manezh-krovat-babies-p-695i,detskij-manezh-krovat-babies-p-695i.html,,4,13.6000,0.255,0,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,703,/5/1/512e4e90d436da456448849de5384747.jpg,,1,0
,,Default,simple,Детские манежи/Babies,Root Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babies P-695J,,Default,simple,Babies/Детские манежи,Root Catalog,base,,1,,4600013036957,,,,,,,,2013-12-03 10:51:59,,,,,,0,,,0,0,0,0,0,0,1,,,,,,,0,0.76,/d/3/d3fe22e72e4879ae46f8ecf8c7a8073d.jpg,,,0.255,Babies,,,,,,,,,1,,Использовать настройки конфигурации,Использовать настройки конфигурации,Детский манеж-кровать Babies P-695J,,,vendor.model,Блок после информационной колонки,,4340.0000,,1,,0,,,,,,,,,,/d/3/d3fe22e72e4879ae46f8ecf8c7a8073d.jpg,,,,,1,2,/d/3/d3fe22e72e4879ae46f8ecf8c7a8073d.jpg,,,2014-03-30 14:26:52,detskij-manezh-krovat-babies-p-695j,detskij-manezh-krovat-babies-p-695j.html,,4,13.6000,0.255,0,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,703,/d/3/d3fe22e72e4879ae46f8ecf8c7a8073d.jpg,,1,0
,,Default,simple,Детские манежи/Babies,Root Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-93H,,Default,simple,Babies/Защитный барьер для кровати,Root Catalog,base,,1,,4600013036971,,,,,,,,2013-12-03 10:52:02,,,,,,0,,,0,0,0,0,0,0,1,,,,,,,0,0.78,/f/1/f12b82eb40e642ddf5c28ba3bb35f6d2.jpg,,,0.14,Babies,,,,,,,,,1,,Использовать настройки конфигурации,Использовать настройки конфигурации,Защитный барьер для кровати  B-93H,,,vendor.model,Блок после информационной колонки,,1350.0000,,4,,0,,,,,,,,,,/f/1/f12b82eb40e642ddf5c28ba3bb35f6d2.jpg,,,,,1,2,/f/1/f12b82eb40e642ddf5c28ba3bb35f6d2.jpg,,,2014-03-30 14:26:31,zaschitnyj-bar-er-dlja-krovati-b-93h,zaschitnyj-bar-er-dlja-krovati-b-93h.html,,4,2.7600,0.07,0,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,703,/f/1/f12b82eb40e642ddf5c28ba3bb35f6d2.jpg,,1,0
